Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26697,CG 25 *KIDS BREAKFAST MEAT CHOICE*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16167,,,,,,,,,,,,,,,,,,,,
26698,Bacon,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90025,,1,448,1,16168,,,,,,,,,RC000137,,,,,,,,,,,
26699,Sausage,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90025,,1,448,1,16169,,,,,,,,,RC001084,,,,,,,,,,,
26700,No Meat*,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90025,,1,448,1,16170,,,,,,,,,RC001084,,,,,,,,,,,
26701,Chicken Sausage,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90025,,1,448,1,16144,,,,,,,,,RC001483,,,,,,,,,,,
26702,CG 26 *KID CHOICE OF DRINK*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16145,,,,,,,,,,,,,,,,,,,,
26703,Whole Milk,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90026,,1,448,1,16171,,,,,,,,,RC000297,,,,,,,,,,,
26704,Coke,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90026,,1,448,1,16172,,,,,,,,,RC000401,,,,,,,,,,,
26705,Diet Coke ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90026,,1,448,1,16173,,,,,,,,,RC000731,,,,,,,,,,,
26706,Seagram's Ginger Ale,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90026,,1,448,1,16174,,,,,,,,,RC000149,,,,,,,,,,,
26707,Sprite,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90026,,1,448,1,16175,,,,,,,,,RC000402,,,,,,,,,,,
26708,Orange Juice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90026,,1,448,1,16176,,,,,,,,,RC000331,,,,,,,,,,,
26709,CG 30 *BEAN CHOICE*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16177,,,,,,,,,,,,,,,,,,,,
26710,No Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90030,,1,448,1,16178,,,,,,,,,RC001166,,,,,,,,,,,
26711,Black Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90030,,1,448,1,16179,,,,,,,,,RC005763,,,,,,,,,,,
26712,Refried Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90030,,1,448,1,16180,,,,,,,,,RC004841,,,,,,,,,,,
26713,cg 31 *FAJITAS MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16181,,,,,,,,,,,,,,,,,,,,
26714,No Pico de Gallo,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90031,,1,448,1,16146,,,,,,,,,RC001243,,,,,,,,,,,
26715,No Cotija,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90031,,1,448,1,16182,,,,,,,,,RC006276,,,,,,,,,,,
26716,No Peppers & Onions,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90031,,1,448,1,16147,,,,,,,,,RC002148,,,,,,,,,,,
26717,No Lime,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90031,,1,448,1,16183,,,,,,,,,RC002072,,,,,,,,,,,
