Id,MasterName,ReportGroup,Status,MajorGroup,FamilyGroup,RecipeLink,MenuItemName,ObjectNumber,HierarchyId,LP_DontPrintWhenNOPrefix,LP_PrintQuantityAlways,LP_FlavourItem,LP_DoNotPrintWhenDisplayInDefaultState,LP_SugarCaneItem,LP_PrintInDefaultState
17954,171867,1,"00000000	",1000,10006,,Peas,41205931,42,,,,,,
17955,171868,1,"00000000	",1000,10006,,Shredded Cheddar Cheese,41205932,42,,,,,,
17956,171869,1,"00000000	",1000,10006,,Jalapenos,41205933,42,,,,,,
17957,171870,0,"00000000	",0,0,,** CG:48 CAPRESE PANINI MODIFIERS **,41205960,42,,,,,,
17958,171871,1,"00000000	",1000,10006,,Mozzarella ,41205961,42,,,,,,
17959,171872,1,"00000000	",1000,10006,,Sub Chips for Fries ,41205962,42,,,,,,
17960,171873,1,"00000000	",1000,10006,,Marinated Tomato,41205963,42,,,,,,
17961,171874,1,"00000000	",1000,10006,,Basil Pesto,41205964,42,,,,,,
17962,171875,0,"00000000	",0,0,,** CG:50 ITALIAN SAUSAGE PANINI MODIFIERS **,41206000,42,,,,,,
17963,171876,1,"00000000	",1000,10006,,No Cheese,41206001,42,,,,,,
17964,171877,1,"00000000	",1000,10006,,No Peppers,41206002,42,,,,,,
17965,171878,1,"00000000	",1000,10006,,Sub Chips for Fries ,41206003,42,,,,,,
17966,171879,0,"00000000	",0,0,,** CG:52 EGG STYLE **,41206040,42,,,,,,
17967,171880,1,"00000000	",1000,10006,,Egg Whites ,41206041,42,,,,,,
17968,171881,1,"00000000	",1000,10006,,Sunny Side Up ,41206042,42,,,,,,
17969,171882,1,"00000000	",1000,10006,,Scrambled,41206043,42,,,,,,
17970,171883,1,"00000000	",1000,10006,,No Egg ,41206044,42,,,,,,
17971,171884,1,"00000000	",1000,10006,,Over Hard,41206045,42,,,,,,
17972,171885,1,"00000000	",1000,10006,,Over Easy,41206046,42,,,,,,
17973,171886,1,"00000000	",1000,10006,,Over Medium,41206047,42,,,,,,
17974,171887,1,"00000000	",1000,10006,,Poached,41206048,42,,,,,,
17975,171888,0,"00000000	",0,0,,** CG:54 EGGS ANY STYLE MEAT CHOICE **,41206080,42,,,,,,
17976,171889,1,"00000000	",1000,10006,,Bacon,41206081,42,,,,,,
17977,171890,1,"00000000	",1000,10006,,Sausage,41206082,42,,,,,,
17978,171891,1,"00000000	",1000,10006,,No Meat,41206083,42,,,,,,
17979,171892,0,"00000000	",0,0,,** CG:56 tOAST CHOICE **,41206120,42,,,,,,
